Institute;Continent;Country;University;StudyPeriod;Language;AcademicQuality;SocialQuality;ResidentialQuality;ReceptionQuality;Link;Subjects
SVT-PED - Pedagogisk institutt;North America;USA;Michigan Tech. University;1999;Engelsk;7;9;8;8;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10;Diplom
SVT-PSY - Psykologisk institutt;Europe;Nederland;Vrije Universiteit Amsterdam;2000;Nederlandsk;5;8;10;2;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=100;Inleiding Sociaal-Culturele Wetensch.!Methoden en Technieken 1!Beleid, Bestuur en Samenleving!Communicatie!Cultuur!Sociale Verandering!Filosofie!Agemene werkgroepen + Project
SVT-ISS - Institutt for sosiologi og statsvitenskap;Europe;Spania;Universidad De Granada;2001;Spansk;4;9;1;2;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=1000;Los Medios de Communication!Cultura de Massas!Derecho Diplomatica y Consulat 
NT-IBT - Institutt for bioteknologi;North America;USA;University Of California, San Diego;2012;Engelsk;8;10;7;7;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10002;molecular basis of human disease!cell biology!cellular and molecular biochemistry!rady school of management, business mangement!introduction to statistics I!introduction to statistics II!cell and tissue engineering
SVT-ISO - Institutt for samfunnsøkonomi;Europe;Danmark;Universitetet I København;2012;Engelsk;7;7;5;3;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10004;Conflict and Peacemaking in Divided Societies!Gender, Work and Organization!Media Sociologi
HF-IM - Institutt for musikk;Oceania;New Zealand;University Of Auckland;2012;Engelsk;7;8;6;9;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10005;STATS101 Introduction to Statistics!COMPSCI367 Artificial Intelligence!MGMT231 Business in Society!MKTG201 Marketing Managment
HF-IM - Institutt for musikk;Oceania;New Zealand;University Of Auckland;2012;Engelsk;7;9;6;8;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10007;Artificial Intelligence!Business in Society!Marketing Management!Statistics!Introduction to Operations Reasearch!Microeconomics!MMI!Design: Software Practice
HF-IFR - Institutt for filosofi og religionsvitenskap;Europe;Danmark;Københavns Universitet;2011;Dansk;8;7;8;4;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10008;Klassisk arkeologi
IVT-IPK - Institutt for produksjons- og kvalitetsteknikk;Europe;Italia;Politecnico Di Milano;2001;Italiensk;6;9;3;7;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=1001;elaborazione dell` immagine per i progettazioni industriali!Economia ed organizazzione aziendale!Sistemi informativi!tecnica dei materiali polimerici!sistemi di produzione automatizzati!Sistemi intelligenti naturali ed artificiali
IME-IDI - Institutt for datateknikk og informasjonsvitenskap;Europe;Østerrike;Technische Universität Wien;2011;Engelsk;9;8;5;3;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10010;Theory of Knowledge Representation!Nonmonotonic Reasoning!Advanced Theoretical Computer Science (veldig bra fag)!Management of Software Projects !Advanced Software Engineering (nyttig for de som går i PIS)!Web data extraction and integration (lært mye nytt her)!Project in Software Engineering and Internet Computing
AB-BKFF - Institutt for byggekunst, form og farge;Europe;Danmark;Århus Universitet;2011;Dansk;6;8;7;9;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10012;Gyn/obst1 !Gyn/obst2 !Ped1 !Ped2 
AB-BKFF - Institutt for byggekunst, form og farge;Europe;Spania;Universidad De Granada;2011;Ukjent;7;9;6;7;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10014;Idioma moderno avanzado frances!Linguistica francesa y analisis textos franceses!Litteratura francesa
NT-IMTE - Institutt for materialteknologi;Europe;Sverige;KTH;2012;Svensk!Engelsk;8;7;8;9;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10015;KF2140 Polymers Physic!KD2380 Corrosion and Surface Protection!KF2130 Polymer Chemistry!KD1090 Organisk Kemi 1
AB-BKFF - Institutt for byggekunst, form og farge;Europe;Sverige;Kth, Royal Institute Of Technology;2011;Ukjent;5;7;8;9;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10019;sustainable design studio!CMMASSS - elective (critical...sustainable...) 
IVT-KT - Institutt for konstruksjonsteknikk;Europe;Spania;UPM;2001;Spansk;4;8;8;2;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=1002;Arte y estetica en la ingenieria!Hormigon  armado y pretensado 1!Hormigon armado y pretensado 2
DMF-INM - Institutt for nevromedisin;Europe;Frankrike;Toulouse Ii Le Mirail;1999;Fransk;6;9;3;3;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10022;Introduction ÃƒÂ  la psycholinguistique!SÃƒÂ©mantique et sÃƒÂ©miotique!Approches linguistiques du franÃƒÂ§ais parlÃƒÂ©!LittÃƒÂ©ratures francophones!LittÃƒÂ©rature FranÃƒÂ§aise: PoÃƒÂ©sie et thÃƒÂ©ÃƒÂ¢tre
IME-ITK - Institutt for teknisk kybernetikk;North America;USA;University Of California, Santa Barbara;2011;Engelsk;9;8;9;7;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10026;Trustworthiness in Embedded Systems!Program Analysis!Data and Knowledge Bases!Communications for International Students
DMF-INM - Institutt for nevromedisin;Europe;Frankrike;Université De Strasbourg;2011;Fransk;7;9;4;3;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10028;Histoire des Relations Internationales !Conférence de méthode, Histoire des Relations Internationales!Systèmes Politiques comparés!Conférence de méthode, Systèmes Politiques comparés !Sociologie des Relations Internationales!Sociologie politique!Conférence de méthode, Sociologie Politique!Sociologie de l’Etat
SVT-ISO - Institutt for samfunnsøkonomi;Oceania;Australia;UTAS;2011;Engelsk;7;10;8;7;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10031;marketing management!service marketing!project planning and evaluation!international marketing!intro to international business!sustainable tourism!destination managemeent!principles of tourism
IVT-IMT - Institutt for marin teknikk;South America;Brazil;Universidade Federal Do Rio De Janeiro;2012;Portugisisk;6;9;4;2;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10032;Introduçâo ao MEF (FEM)!Dinâmica de Sistemas Flutuantes III (COV828)!Hidrodinâmica de Sistemas Oceânicos I (COV728)!Hidrodinâmica de Sistemas Oceânicos II (COV822)!Sistemas submarinos de produção I (COV756)!Portugues II!Portugues III
IME-IET - Institutt for elektronikk og telekommunikasjon;North America;USA;University Of California, San Diego;2012;Engelsk;9;8;6;6;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10033;Computer Vision I (bra)!Fundamentals of Digital Image Processing (veldig bra)!Principles of Operating Systems (mye arbeid)
SVT-PED - Pedagogisk institutt;Europe;Danmark;Århus Universitet;2011;Dansk;7;7;7;4;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10034;Gynekologi/obstetrikk1 !Pediatri1 !Psykiatri
IME-IET - Institutt for elektronikk og telekommunikasjon;North America;USA;University Of California, San Diego;2012;Engelsk;6;7;5;7;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10035;PHYS160 - Stellar Astrophysics!PHYS110a - Mechanics!ECE103 - Fundamentals of Devices and Materials!MGT172 - Business Project Management
IVT-IPT - Institutt for petroleumsteknologi og anvendt geofysikk;North America;USA;University Of Oklahoma;2012;Engelsk;7;9;8;8;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10036;Mathematical Simulation Models!Seismic Reservoir Modeling!Natural Gas Engineering!Applied Reservoir Engineering!Horizontal Well Technology!Advanced Production Engineering!International Finance Theory
AB-BKFF - Institutt for byggekunst, form og farge;North America;USA;University Of California, Berkeley;2012;Engelsk;7;10;6;8;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10037;E120 Engineering economics!ME140 Combustion processes!ME254 Thermodynamics 1!ME260A Fluid mechanics
SVT-IOT - Institutt for industriell økonomi og teknologiledelse;Asia;Singapore;National University Of Singapore ;2002;Engelsk;7;8;6;9;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=1004;International Financial Management!Investment Analysis and Mgt!Operations Processes and Systems!Financial Risk Management
IME-IDI - Institutt for datateknikk og informasjonsvitenskap;Asia;Korea;Seoul National University;2012;Engelsk;4;10;5;3;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10040;Artifal Intelligence!Elementary Korean!Information Visualization!Knowledge Representation and Reasoning!Management Science!Beginners Snowboarding!Skiing
SVT-PLU - Program for lærerutdanning;North America;USA;University Of California, San Diego;2012;Engelsk;7;8;9;6;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10041;SE150 Design of Steel Structures!SE233 Computational Techniques In Finite Elements!SE276A Finite Element Method in Solid Mechanics I
IVT-BAT - Institutt for bygg, anlegg og transport;North America;USA;Uc Berkeley;2012;Engelsk;7;8;0;1;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10042;Civil Systems and the Environment!Principle of Engineering Economic!Micro Economics!Advanced Project Planning and Controll
IVT-KT - Institutt for konstruksjonsteknikk;North America;USA;Uc Berkeley;2012;Engelsk;9;7;8;4;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10043;CE220 - Structural Analysis Theory and Application!CE225 - Dynamics of Structures!CE244 - Reinforced Concrete Structures!CE275 - Geotechnical Earthquake Engineering!CE228 - Advanced EQ Analysis!CE227 - Earthquake Resistant Design!CE221 - Non-Linear Analysis!TBD
AB-BKFF - Institutt for byggekunst, form og farge;Europe;Danmark;Københavns Universitet;2011;Dansk;9;8;8;3;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10047;Lyrik i vores samtid!Litterært anmelderi
DMF-INM - Institutt for nevromedisin;North America;Canada;Universitãƒâ© Laval;2011;Fransk;7;7;7;7;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10049;LittÃ©rature quÃ©becoise!LittÃ©rature franÃ§aise d'origine Ã  nos jours!RÃ©gimes politiques et sociÃ©tÃ©s dans le monde!Histoire politique contemporiane!RÃ©lations intÃ©rnationales
IVT-IMT - Institutt for marin teknikk;North America;USA;MIT;2001;Engelsk;9;4;6;2;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=1005;Diplomoppgave!Wave body interactions!Applied mathematics
SVT-IOT - Institutt for industriell økonomi og teknologiledelse;North America;USA;Uc Berkeley;2012;Engelsk;9;9;8;3;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10050;MATH126: Intro to PDE!UBGA151: MGMT of HR!IEOR162: Linear Programming!CIV ENG 167: Engineering Project MGMT!ENGIN120: Principles of Engineering Economics!UGBA106: Marketing!IEOR167: Decision Analysis!IEOR221: Intro to Financial Engineering
HF-IM - Institutt for musikk;North America;USA;University Of California, Berkeley;2011;Engelsk;9;8;4;2;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10051;IEOR172 !IEOR162 !MEC ENG 109!UGBA151 !ENG120 !tbd!tbd!tbd
SVT-GEO - Geografisk institutt;North America;USA;California State Polytechnic University;2012;Engelsk;8;8;10;5;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10052;ARCH551!ARCH532!ARCH461!ARCH420!ARCH452!ARCH510
IVT-EPT - Institutt for energi- og prosessteknikk;Oceania;Australia;University Of Western Australia;2012;Engelsk;7;8;8;7;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10055;Process Modules!Process Systems!Future Energy!Macroeconomics!Thermofluids3 !Hydraulics2 !Computational Fluid Mechanics
AB-BKFF - Institutt for byggekunst, form og farge;Europe;Russland;Northern ;2011;Ukjent;7;9;7;10;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10059;russisk språk!the voices of the twentieth-century russia (historie)
NT-IKJ - Institutt for kjemi;Europe;Italia;John Cabot University;2001;Engelsk;6;9;9;7;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=1006;Klassisk gresk kunst!tidlig renessanse!romersk middelalder!romersk antikk
IME-ELKRAFT - Institutt for elkraftteknikk;Africa;Sør Afrika;University Of Cape Town;2012;Engelsk;5;10;8;8;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10061;Peoples Management!Economics for Engineers!Electrical Engineering Design!Power Engineering!Power Distribution and Transmission Networks!Power System Analysis Operation and Control!Electrical Machines and Power Electronics
IVT-EPT - Institutt for energi- og prosessteknikk;Africa;Sør Afrika;University Of Cape Town;2012;Engelsk;6;8;6;7;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10062;Power Plants!Industrial Ecology!New !Economy for Engineers
SVT-ISO - Institutt for samfunnsøkonomi;Oceania;New Zealand;University Of Auckland;2012;Engelsk;7;7;6;4;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10064;Advancing Mathematics 1 !Advanced Academic Spoken English !Communication in a Multicultural Society !Firms across Frontiers: An Introduction to International Business 
SVT-ISO - Institutt for samfunnsøkonomi;Oceania;New Zealand;University Of Auckland;2012;Engelsk;9;9;7;7;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10066;Academic English Writing!Academic English Reading!General Mathematics 2 !Advancing Mathematics 1 !International Finance!Environmental Economics!Development of the Int'l Econ!Creative Comm: Intro Planning
AB-BKFF - Institutt for byggekunst, form og farge;Oceania;Australia;Bond University;2011;Engelsk;4;9;9;9;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10068;International Contracts!International Financial System!Legal Aspects of Busines Acquisitions
SVT-PSY - Psykologisk institutt;Oceania;Australia;University Of Western Sydney;2001;Engelsk;6;9;6;3;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=1007;B1910 Psychology 1B!B2903 Personality!B3903 Abnormal and Counselling Psychology
IVT-BAT - Institutt for bygg, anlegg og transport;Europe;Nederland;Technische Universiteit Eindhoven;2011;Engelsk;9;8;7;8;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10070;Legal and Governance Aspects!Aluminium Structures!Preliminary design of high-rise structures!Housing strategies!Masterproject High-rise Structures
AB-BKFF - Institutt for byggekunst, form og farge;Europe;Tyskland;Albert-Ludwigs Universität;2011;Tysk;9;7;8;7;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10071;Gynekologi!Geriatri!Naturmedisin og rehabilitering!Pediatri
NT-IFY - Institutt for fysikk;Asia;Singapore;National University Of Singapore ;2012;Engelsk;5;7;9;7;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10073;Quantum Mechanics 3!Computational Fluid Mechanics!Surface Physics!Nuclear and Particle Physics
AB-BKFF - Institutt for byggekunst, form og farge;Europe;Storbritannia;University Of Dundee;1999;Engelsk;6;10;6;5;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10075;Child Health!Obs and Gynea!Surgery2 (Akutt med, orto, reuma)!Medicine3 
AB-BKFF - Institutt for byggekunst, form og farge;South America;Chile;PUCV;2012;Chilensk;7;10;4;2;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10076;Taller8 (studentboligprosjekt)!Amereida!Cultura del Cuerpo!Plastica (Samtidskunst)
SVT-PSY - Psykologisk institutt;Oceania;Australia;University Of Western Sydney;2001;Engelsk;7;8;8;7;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=1008;B1910 Psychology 1B!B2903 Personality!B3903 Abnormal and Counselling
IME-ELKRAFT - Institutt for elkraftteknikk;Europe;Frankrike;Inp Grenoble;2011;Fransk;4;9;6;7;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10081;Développement personnel!Economie et société!Projet intégrateur !Projet transversal !Conduite et Sûreté!Nouvelles Technologies d'Information pour l'Energie!ngénierie Financière et Marchés de l'Energie
NT-IBI - Institutt for biologi;Europe;Tyskland;Technische Universität Dresden;2011;Tysk;7;8;8;4;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10082;Hydrobiologisches seminar (5 ECTS)!Vertieferung Ökotoxikoligie (5 ECTS)!Hydrobiologiesche techniken (5 ECTS)!Ausgewandte statistik (5 ECTS)!Deustch als Fremdsprache (6 ECTS)!Deutsch Fachsprachlich seminar (4 ECTS)
SVT-ISS - Institutt for sosiologi og statsvitenskap;Europe;Spania;Universidad De Granada;2012;Spansk;4;6;4;4;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10084;Antropologia de religion!Antropologia de politica!Antropologia de genero!Nacionalismo y estado!Introduccion a la sociologia!Antropologia y evolucio!Geografia!Historia de america y prehispanica
SVT-PSY - Psykologisk institutt;Oceania;Australia;Bond University;2000;Engelsk;9;8;9;10;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=1009;Interpersonal and Group skills!Applied Psychology!Independent Topic!Industrial and organisational Psychology
HF-IKM - Institutt for kunst- og medievitenskap;Europe;Østerrike;Fhv, Vorarlberg University Of Applied Sciences;2011;Engelsk;9;10;9;10;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10098;robotics and assembly tech.!computer applications!production management!focus mechanical eng.!Mechatronics pro. 5!German level 2
SVT-PSY - Psykologisk institutt;Asia;India;Kerala University;2001;Engelsk;8;4;6;7;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=1010;Sosial psykologi
AB-BKFF - Institutt for byggekunst, form og farge;North America;USA;University Of Minnesota;2011;Engelsk;8;7;10;4;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10107;IE5513 Engineering Safety!IE5511 Human Factors!OMS3059 Quality Mgmt and Lean Six Sigma
NT-IFY - Institutt for fysikk;Oceania;Australia;University Of New South Wales;2001;Engelsk;7;9;7;9;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=1011;Biometry(statistikk)!Biochemistry!Quantum Physics!Medical Imaging!Physics Research Project
AB-BKFF - Institutt for byggekunst, form og farge;North America;USA;Uc Berkeley;2012;Engelsk;6;8;6;6;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10111;Kinetics!Process Design!Process Control!Tech, Communication!Polymer!Num, Diff
HF-IM - Institutt for musikk;Oceania;Australia;Queensland University Of Technology;2012;Engelsk;8;9;8;8;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10112;EFB223Economics2 !ENB336 Industrial Engineering!AMB240 Marketing Planning and Management!MGB335 Project Management!ENB242 Introduction to telecommunicatoins!MAB315 Operations Reasearch 2!MGB331 Learning and Development in Organizations!Enda uvisst, måtte endre fagplanen
